!SESSION 2022-07-05 19:45:08.378 -----------------------------------------------
eclipse.buildId=2018.3
java.version=1.8.0_112
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -data C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk

This is a continuation of log file C:\Users\HH\Documents\Embedded_system\hust_efi\fpga\hust_efi\hust_efi.sdk\.metadata\.bak_0.log
Created Time: 2022-07-05 20:00:05.545

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:05.546
!MESSAGE XSCT Command: [disconnect tcfchan#4], Thread: Thread-389

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:05.571
!MESSAGE XSCT command with result: [disconnect tcfchan#4], Result: [null, ]. Thread: Thread-389

!ENTRY com.xilinx.sdk.utils 1 0 2022-07-05 20:00:06.529
!MESSAGE Updating toolusage

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.530
!MESSAGE XSCT Command: [connect -url tcp:127.0.0.1:3121], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.536
!MESSAGE XSCT command with result: [connect -url tcp:127.0.0.1:3121], Result: [null, tcfchan#5]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.537
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.563
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.564
!MESSAGE XSCT Command: [version -server], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.566
!MESSAGE XSCT command with result: [version -server], Result: [null, 2018.3]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.566
!MESSAGE XSCT Command: [version], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.567
!MESSAGE XSCT command with result: [version], Result: [null, xsct 2018.3
SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.568
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.585
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.585
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.629
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Result: [null,      2  arm_dap (idcode 4ba00477 irlen 4)
     3  xc7z010 (idcode 13722093 irlen 6 fpga)]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.629
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.638
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.638
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.692
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Result: [null,      2  arm_dap (idcode 4ba00477 irlen 4)
     3  xc7z010 (idcode 13722093 irlen 6 fpga)]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.693
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.712
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.712
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.774
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Result: [null,      2  arm_dap (idcode 4ba00477 irlen 4)
     3  xc7z010 (idcode 13722093 irlen 6 fpga)]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.775
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.786
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.786
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.844
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Result: [null,      2  arm_dap (idcode 4ba00477 irlen 4)
     3  xc7z010 (idcode 13722093 irlen 6 fpga)]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.845
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.856
